,Sentiment,Text
0,negative,how unhappy some dogs like it though
1,negative,talking to my over driver about where i m goinghe said he d love to go to new york too but since trump it s probably not
2,negative,does anybody know if the rand s likely to fall against the dollar i got some money i need to change into r but it keeps getting stronger unhappy
3,negative,i miss going to gigs in liverpool unhappy
4,negative,there isnt a new riverdale tonight unhappy
5,negative,it s that a dy guy from pop asia and then the translator so they ll probs go with them around aus unhappy
6,negative,who s that chair you re sitting in is this how i find out everyone knows now you ve shamed me in pu
7,negative,don t like how jittery caffeine makes me sad
8,negative,my area s not on the list unhappy think i ll go libdems anyway
9,negative,i want fun plans this weekend unhappy
10,negative,when can you notice me unhappy what
11,negative,ahhhhh you recognized logan cinemax shows have a bad track record for getting cancelled unhappy
12,negative,errr dude they re gone unhappy asked other league memeber to check the guys are go
13,negative,not you again sad
14,negative,why would harvey be going to prison unhappy
15,negative,missing in crying seaside area
16,negative,becoz if we will depend on your promoting its waste of hardwork to all team who
17,negative,i thought you ll save me crying
18,negative,major waffle cravings right now sad
19,negative,cant speak japanese
20,negative,how can people do stuff like this unhappy
21,negative,please just stop confining animals in zoos unhappy
22,negative,feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy silence love yoyou hope yoyoure okay
23,negative,i miss you huhu so busy unhappy
24,negative,it was extended family 12 ppl ahh wanted to show a oh my girl being dorky while playing a game but it got deleted unhappy
25,negative,don t do that unhappy
26,negative,jamie can you please reset the cga grandfinal server no administrator are responding unhappy
27,negative,noooooooo you gonna miss the buffet unhappy take care ain
28,negative,i wish i could vote for you unhappy
29,negative,instant message so jealous okay unhappy but never mind haha bruno can wait finals first
30,negative,when i m enlisting can please turn up like this unhappy
31,negative,unhappy how come people like this have children where s the state intervention
32,negative,ouchhhhh unhappy
33,negative,help i want to stop tweeting all i feel is endless suffering and pain i tried to deactivate myself many times save me unhappy
34,negative,for those asking
35,negative,the application is kana kanji funtime sadly
36,negative,it looks like ios 11 is due to kill it unhappy
37,negative,yeah did update to 16 04
38,negative,it froze a few times then went to 16 10
39,negative,froze mid install waited 3hrs he d to pull plug crying
40,negative,shaandaar
41,negative,zabardast
42,negative,another atbb on it s way i wish srk sir starts signing good movies unhappy
43,negative,i want jabee crying
44,negative,sociopath full raid gear sad
45,negative,when will you say hi sunshine unhappy
46,negative,i feel bad for doing that ahaha unhappy
47,negative,it s getting harder and harder to stay unhappy
48,negative,his face looks bloated unhappy baby get well soon
49,negative,fuck tried changing my settings but still in india unhappy
50,negative,talking to my over driver about where i m goinghe said he d love to go to new york too but since trump it s probably not
51,negative,let s not forget that it s also gabriel tenma white s birthday today i miss unhappy
52,negative,why am i always taken for granted eversince unhappy
53,negative,ah alright
54,negative,i don 27t know if you saw my comment yet
55,negative,but what camera you shooting with
56,negative,does it have flip out scr
57,negative,i miss louis tweets unhappy
58,negative,koalas are dying of thirst and it s all because of us unhappy
59,negative,okay i ll shut up now instant message just mad that lots of people will now have a very flawed opinion on mental health on mine because of this show unhappy
60,negative,pamura isa because in this very moment
61,negative,i want to explode like a grenade to the point where people will die with me sad
62,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
63,negative,i really want one of those iconic jimin stripes turtleneck shirt unhappy
64,negative,i want a spoons but i cant go unhappy honestly feels like a messy break up unhappy
65,negative,makes me so sad unhappy they looked so unhappy when i went to seaworld
66,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
67,negative,i miss rockys posts unhappy
68,negative,hey tony
69,negative,oh no unhappy could you please tell me a little more about your issue im following if youd prefer to dm amanda
70,negative,i love mason and miss mason unhappy
71,negative,cold as a mother crusher right now nearing the end of april sad
72,negative,we don 27t talk anymore like we used to do unhappy
73,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
74,negative,miss biking unhappy
75,negative,i miss big brother unhappy
76,negative,6 days in camp haiss miss you a lot unhappy
77,negative,it s raining so hard unhappy
78,negative,am bored and kandowiandg i have ando plaands for today is makiandg me eveand more bored unhappy
79,negative,oh my god not laurie penny unhappy
80,negative,can you say hi mekisha unhappy
81,negative,i should never draw again unhappy
82,negative,cleantha
83,negative,visual studio installation 89 bsod comes suddenly unhappy
84,negative,i want to make waffles unhappy
85,negative,so sad unhappy
86,negative,crying muh feels
87,negative,look like somethings i will ignore xd kart racing when unhappy
88,negative,did ate jenna just blocked me or what unhappy
89,negative,my bed is so comfortable i don t want to get up unhappy
90,negative,is that store still in use if so
91,negative,i sincerely hope not too many priceless antiques were destroyed reg
92,negative,astaga unhappy
93,negative,i want a puppy now unhappy
94,negative,have to work unhappy but i ll see you tomorrow
95,negative,happy weed day without them is not the same anymore unhappy
96,negative,my favourite lipstick hilang crying
97,negative,time just flies
98,negative,can t believe he will be year for next year unhappy we re becoming old hahahah v
99,negative,the new twitter reply view has me confused like do i capitalise my replies to people or not unhappy
100,negative,whaddup me too crying
101,negative,unhappy every time laughing my ass off
102,negative,who s selling an army bomb ver 2 meet up on sad
103,negative,yeesh unhappy it s fairly warm here
104,negative,easter has flown unhappy i m not ready to give up home luxuries like branded cereal
105,negative,ohnoo unhappy unhappy hope it recuperates sooner
106,negative,her back unhappy
107,negative,give me a chance in west server unhappy
108,negative,but you were going to do it yesterday unhappy
109,negative,i agree my issue would be that it all has to be paid for somehow i just can t see the numbers adding up sad
110,negative,i want to drink with cigarettes unhappy
111,negative,oh mince unhappy
112,negative,the manifesto
113,negative,nick might he deliver when the time demands it story of his life
114,negative,it s okay i ve accepted you the way you are unhappy
115,negative,why do people abuse animals unhappy they re so loyal
116,negative,i m actually crying while typing this tweet i just can t take it anymore not applicablehulog not applicable knock out d unhappy
117,negative,imagine if he wins next time too unhappy unhappy
118,negative,same unhappy
119,negative,i need cue something that would make me smile i ll be waiting
120,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
121,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
122,negative,these nosebleeds are getting outta hands unhappy
123,negative,i am perfectly happy being single until i see a happy couple kisses thefashionicon
124,negative,dude i just want more sleep unhappy
125,negative,feel so fucking shit today unhappy
126,negative,wont be able to stream tonight i m sorry guys unhappy
127,negative,i face swapped a cat with a dog and it s really upsetting unhappy
